	preSwitchB/CD19pos	switchB/CD19pos	CD45pos/PBMC	transitionals/naiveB	BCells/CD45pos	IgApos/switchB	naiveB/CD19pos	exhaustedB/CD19pos	plasmablasts/switchB
9467841	0.1369999999999999	0.0918	0.993	0.0408	0.0579	0.347	0.727	0.0442	0.0814
9467843	0.161	0.123	0.992	0.0728	0.136	0.318	0.682	0.0336	0.0222
9467854	0.158	0.0614	0.989	0.0876	0.0363	0.381	0.747	0.0334	0.0326
9467863	0.0918	0.149	0.981	0.0485	0.0863	0.0599	0.7090000000000001	0.0501	0.0225
9467879	0.0715	0.0859	0.922	0.054	0.0872	0.376	0.768	0.0745	0.0711
9467989	0.0428	0.131	0.994	0.0582	0.0507	0.402	0.7859999999999999	0.0399	0.141
9467992	0.0741	0.0769	0.995	0.0982	0.0609	0.298	0.7829999999999999	0.0657	0.1369999999999999
9536144	0.286	0.107	0.996	0.0304	0.0452	0.362	0.584	0.0232	0.0511
9536147	0.187	0.0768	0.996	0.0176	0.0491	0.061	0.679	0.0571	0.0417
9536148	0.0453	0.0738	0.998	0.0513	0.0334	0.206	0.769	0.112	0.0511
9536152	0.176	0.178	0.999	0.127	0.0877	0.402	0.611	0.0339	0.0158
9536154	0.145	0.0828999999999999	0.998	0.0934	0.109	0.421	0.746	0.0253	0.0438
9536160	0.0708	0.0455	0.998	0.0832	0.102	0.508	0.8540000000000001	0.0294	0.0742
9536165	0.0762999999999999	0.138	0.999	0.0199	0.0701	0.562	0.6509999999999999	0.134	0.177
9536170	0.0834	0.0871	0.995	0.0074	0.0828999999999999	0.444	0.755	0.0746	0.0472
9536171	0.0487	0.0997	0.997	0.0425	0.057	0.331	0.7140000000000001	0.138	0.0864
9536180	0.0536	0.0992	0.997	0.0406	0.0836	0.394	0.807	0.0397	0.0608
9536188	0.118	0.129	0.998	0.0587	0.0856	0.312	0.703	0.0505	0.0207
9536198	0.157	0.229	0.998	0.0195	0.0105	0.331	0.542	0.071	0.113
9536205	0.291	0.214	0.998	0.0061	0.0808	0.0657	0.458	0.0365	0.003
9536209	0.0973	0.105	0.997	0.0327	0.101	0.0664	0.746	0.0525	0.0498
9536214	0.114	0.105	0.976	0.0198	0.0981	0.431	0.738	0.0439	0.108
9536230	0.104	0.243	0.998	0.052	0.0751	0.353	0.568	0.0843	0.0238
9536231	0.116	0.1639999999999999	0.998	0.0788	0.112	0.29	0.675	0.0449	0.0171
9536239	0.0853999999999999	0.0776	0.998	0.0923	0.118	0.0702	0.809	0.0282	0.0883999999999999
9536256	0.101	0.0917	0.988	0.0566	0.0755	0.0784	0.7759999999999999	0.0319	0.0817
9536551	0.122	0.115	0.997	0.0977	0.0739	0.0306	0.7240000000000001	0.0388	0.0689
9536555	0.0902	0.106	0.998	0.0822	0.0825	0.382	0.76	0.0432	0.117
9536265	0.304	0.124	0.998	0.0556	0.0877	0.0601	0.53	0.0416	0.0626999999999999
9536273	0.209	0.114	0.998	0.0486	0.0411	0.426	0.629	0.0485	0.07
9536281	0.104	0.128	0.994	0.0527	0.0623	0.383	0.738	0.0294	0.144
9536303	0.119	0.174	0.998	0.0276	0.0597	0.058	0.614	0.0935	0.0604
9536313	0.0728	0.103	0.998	0.0366	0.0681	0.3720000000000001	0.804	0.0206	0.094
9536319	0.136	0.165	0.998	0.0419	0.0547	0.396	0.643	0.0555	0.0401999999999999
9536325	0.109	0.0956	0.998	0.102	0.0779	0.369	0.764	0.0313	0.0941
9536328	0.148	0.117	0.996	0.0618	0.099	0.0715	0.6809999999999999	0.054	0.0347
